what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114308219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114666570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407114738879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114741261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114754472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407114827735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114830680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114849775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407114868816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114920724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114934911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407114996764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407114999458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407115020468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407115121230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407115124676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407115166763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407115467238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407116682204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407116958378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407116981552
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1407117145424
